Column1;name;serving_size;calories;total_fat;saturated_fat;cholesterol;sodium;choline;folate;folic_acid;niacin;pantothenic_acid;riboflavin;thiamin;vitamin_a;vitamin_a_rae;carotene_alpha;carotene_beta;cryptoxanthin_beta;lutein_zeaxanthin;lucopene;vitamin_b12;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;tocopherol_alpha;vitamin_k;calcium;copper;irom;magnesium;manganese;phosphorous;potassium;selenium;zink;protein;alanine;arginine;aspartic_acid;cystine;glutamic_acid;glycine;histidine;gluten;isoleucine;leucine;lysine;methionine;phenylalanine;proline;serine;threonine;tryptophan;tyrosine;valine;carbohydrate;fiber;sugars;fructose;galactose;glucose;lactose;maltose;sucrose;fat;saturated_fatty_acids;monounsaturated_fatty_acids;polyunsaturated_fatty_acids;fatty_acids_total_trans;alcohol;ash;caffeine;theobromine;water
0;Cornstarch;100 g;381;0.1g;;0;9.00 mg;0.4 mg;0.00 mcg;0.00 mcg;0.000 mg;0.000 mg;0.000 mg;0.000 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;0.00 mcg;0.000 mg;0.0 mg;0.00 IU;0.00 mg;0.00 mg;0.0 mcg;2.00 mg;0.050 mg;0.47 mg;3.00 mg;0.053 mg;13.00 mg;3.00 mg;2.8 mcg;0.06 mg;0.26 g;0.019 g;0.012 g;0.020 g;0.006 g;0.053 g;0.009 g;0.008 g;1;0.010 g;0.036 g;0.006 g;0.006 g;0.013 g;0.024 g;0.012 g;0.009 g;0.001 g;0.010 g;0.014 g;91.27 g;0.9 g;0.00 g;0;0;0;0;0;0;0.05 g;0.009 g;0.016 g;0.025 g;0.00 mg;0.0 g;0.09 g;0.00 mg;0.00 mg;8.32 g
9;Vegetarian fillets;100 g;290;18g;2.8g;0;490.00 mg;82.0 mg;102.00 mcg;0.00 mcg;12.000 mg;0;0.900 mg;1.100 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;4.20 mcg;1.500 mg;0.0 mg;0.00 IU;3.45 mg;3.45 mg;0.0 mcg;95.00 mg;0.925 mg;2.00 mg;23.00 mg;0;450.00 mg;600.00 mg;1.0 mcg;1.40 mg;23.00 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9.00 g;6.1 g;0.80 g;0;0;0;0;0;0;18.00 g;2.849 g;4.376 g;9.332 g;0.00 mg;0.0 g;5.00 g;0.00 mg;0.00 mg;45.00 g
85;SILK Original Creamer;100 g;100;6.7g;;0;67.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;0.0 mg;0;0;0;0;0.00 mg;0;0.00 mg;0;0;0;0;0;0;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.67 g;0.0 g;0.00 g;0;0;0;0;0;0;6.67 g;0.000 g;0;0;0.00 mg;0;0.38 g;0;0;86.29 g
86;SILK Hazelnut Creamer;100 g;133;6.7g;;0;67.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;200.0 mg;0;0;0;0;0.00 mg;0;0.00 mg;0;0;0;0;0;0;0.00 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.00 g;0.0 g;20.00 g;0;0;0;0;0;0;6.67 g;0.000 g;0;0;0.00 mg;0;0.38 g;0;0;72.95 g
89;Bacon and beef sticks;100 g;517;44g;16g;102mg;1420.00 mg;0;2.00 mcg;0.00 mcg;4.867 mg;1.060 mg;0.285 mg;0.600 mg;0.00 IU;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0.00 mcg;0;1.90 mcg;0.500 mg;0.0 mg;0;0;0;1.6 mcg;14.00 mg;0.080 mg;1.86 mg;17.00 mg;0.038 mg;142.00 mg;385.00 mg;26.1 mcg;3.23 mg;29.10 g;1.480 g;1.516 g;2.073 g;0.262 g;3.383 g;1.641 g;0.699 g;0;0.971 g;1.732 g;1.824 g;0.593 g;0.868 g;1.188 g;0.942 g;0.959 g;0.210 g;0.710 g;1.083 g;0.80 g;0.0 g;0.80 g;0;0;0;0;0;0;44.20 g;16.000 g;21.900 g;4.300 g;102.00 mg;0.0 g;4.30 g;0.00 mg;0.00 mg;21.60 g
99;Ham and cheese spread;100 g;245;19g;8.6g;61mg;1197.00 mg;0;3.00 mcg;0.00 mcg;2.153 mg;0.590 mg;0.220 mg;0.318 mg;304.00 IU;91.00 mcg;0;0;0;0;0;0.73 mcg;0.130 mg;0.0 mg;0;0;0;0;217.00 mg;0.090 mg;0.76 mg;18.00 mg;0.036 mg;495.00 mg;162.00 mg;33.6 mcg;2.25 mg;16.18 g;0.802 g;0.892 g;1.378 g;0.255 g;2.887 g;0.587 g;0.597 g;0;0.775 g;1.504 g;1.476 g;0.475 g;0.771 g;1.356 g;0.806 g;0.683 g;0.372 g;0.666 g;1.014 g;2.28 g;0.0 g;0;0;0;0;0;0;0;18.53 g;8.620 g;7.080 g;1.380 g;61.00 mg;0;3.90 g;0;0;59.13 g
104;Horned melon (Kiwano);100 g;44;1.3g;;0;2.00 mg;0;3.00 mcg;0.00 mcg;0.565 mg;0.183 mg;0.015 mg;0.025 mg;147.00 IU;7.00 mcg;0;88.00 mcg;0;0;0;0;0.063 mg;5.3 mg;0;0;0;0;13.00 mg;0.020 mg;1.13 mg;40.00 mg;0.039 mg;37.00 mg;123.00 mg;0;0.48 mg;1.78 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7.56 g;0;0;0;0;0;0;0;0;1.26 g;0;0;0;0;0;0.44 g;0;0;88.97 g
105;Ice cream sundae cone;100 g;254;14g;2.7g;15mg;115.00 mg;11.9 mg;19.00 mcg;14.00 mcg;1.111 mg;0.356 mg;0.213 mg;0.090 mg;410.00 IU;117.00 mcg;0.00 mcg;14.00 mcg;0.00 mcg;2.00 mcg;0;0.35 mcg;0.050 mg;0.0 mg;4.00 IU;0.11 mg;0.11 mg;0.5 mcg;60.00 mg;0.082 mg;0.36 mg;20.00 mg;0.087 mg;128.00 mg;204.00 mg;2.3 mcg;0.56 mg;3.00 g;0.026 g;0.029 g;0.034 g;0.019 g;0.295 g;0.029 g;0.018 g;0;0.031 g;0.058 g;0.016 g;0.015 g;0.041 g;0.099 g;0.041 g;0.022 g;0.010 g;0.023 g;0.035 g;28.89 g;1.0 g;21.26 g;0;0;0;0;0;0;14.00 g;2.717 g;1.775 g;0.747 g;15.00 mg;0.0 g;0.80 g;0.00 mg;2.00 mg;53.31 g
121;Potato salad with egg;100 g;157;9.4g;1.4g;17mg;329.00 mg;18.2 mg;13.00 mcg;0.00 mcg;0.800 mg;0.443 mg;0.017 mg;0.032 mg;163.00 IU;19.00 mcg;5.00 mcg;67.00 mcg;3.00 mcg;43.00 mcg;0;0.07 mcg;0.115 mg;0.8 mg;4.00 IU;0.68 mg;0.68 mg;14.3 mcg;15.00 mg;0.041 mg;0.50 mg;15.00 mg;0.112 mg;53.00 mg;242.00 mg;2.4 mcg;0.33 mg;1.96 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16.18 g;1.3 g;4.95 g;1.31 g;0.00 g;1.54 g;0.00 g;0.39 g;1.70 g;9.40 g;1.437 g;2.000 g;4.983 g;17.00 mg;0.0 g;1.47 g;0.00 mg;0.00 mg;70.99 g
129;SILK Peach soy yogurt;100 g;94;1.2g;;0;15.00 mg;0;0;0;0;0;0;0;0.00 IU;0;0;0;0;0;0;0;0;17.6 mg;0;0;0;0;176.00 mg;0;0.64 mg;0;0;0;0;0;0;2.35 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.82 g;0.6 g;14.71 g;0;0;0;0;0;0;1.18 g;0.000 g;0;0;0.00 mg;0;1.24 g;0;0;76.41 g
